folder,file_count,size_bytes,size_kb,size_mb
(root),13,890240,869.4,0.85
.github,1,1647,1.6,0.0
.github/codeql/extensions/helix-ids-python,1,143,0.1,0.0
.github/scripts,3,4184,4.1,0.0
.github/workflows,6,26082,25.5,0.02
.pytest_cache,3,530,0.5,0.0
.pytest_cache/v/cache,2,243662,238.0,0.23
.ruff_cache,2,78,0.1,0.0
.ruff_cache/0.15.16,4,470,0.5,0.0
.understand-anything,4,3409958,3330.0,3.25
.understand-anything/.trash-1782005968,88,5100180,4980.6,4.86
.understand-anything/.trash-1782005968/tmp,1,3244,3.2,0.0
.understand-anything/intermediate,2,135713,132.5,0.13
.vscode,1,2,0.0,0.0
archive/phase24a,1,1921,1.9,0.0
archive/phase24a/scripts/training,1,13645,13.3,0.01
archive/phase24a/src/helix_ids/adaptation,3,28432,27.8,0.03
archive/phase24a/src/helix_ids/data,1,19897,19.4,0.02
artifacts/operations,1,928,0.9,0.0
artifacts/soak/_monitor,17,12962,12.7,0.01
artifacts/soak/soak_inference_20260619_182633,19,14141,13.8,0.01
artifacts/soak/soak_logging_20260619_034811,25,15155,14.8,0.01
artifacts/soak/soak_training_20260619_034759,15,11084,10.8,0.01
benchmarks,7,362743,354.2,0.35
cleanup,1,5650,5.5,0.01
config,5,19454,19.0,0.02
config/experiments,4,7971,7.8,0.01
config/mutation,15,6551,6.4,0.01
data,1,789319680,770820.0,752.75
data/bot_iot/raw,1,47077517,45974.1,44.9
data/cicids2017/raw,1,80353823,78470.5,76.63
data/iot23,3,172750618,168701.8,164.75
data/kyoto2006,1,90748747,88621.8,86.54
data/nsl_kdd,3,19451407,18995.5,18.55
data/processed,3,738232417,720930.1,704.03
data/processed/multi_dataset_v1,26,1276086283,1246178.0,1216.97
data/processed/phase52_cache,24,28587964,27917.9,27.26
data/splits,3,4527707,4421.6,4.32
data/ton_iot/raw,1,29764123,29066.5,28.39
data/ugr16_cal,2,566716,553.4,0.54
data/unsw_nb15,3,22349785,21826.0,21.31
docs,8,52846,51.6,0.05
docs/api,1,3366,3.3,0.0
docs/architecture,4,19975,19.5,0.02
docs/archive/phase11a,1,24349,23.8,0.02
docs/archive/phase13,1,19485,19.0,0.02
docs/archive/phase19,1,12594,12.3,0.01
docs/archive/phase22,1,5924,5.8,0.01
docs/archive/phase23,1,4320,4.2,0.0
docs/archive/phase24a,4,34790,34.0,0.03
docs/archive/phase4,2,3622,3.5,0.0
docs/archive/superseded,71,504740,492.9,0.48
docs/changelog,1,3972,3.9,0.0
docs/development,4,12733,12.4,0.01
docs/figures,6,1540111,1504.0,1.47
docs/final,7,96405,94.1,0.09
docs/manuscript,3,118557,115.8,0.11
docs/operations,4,14655,14.3,0.01
docs/phase25a,6,12541,12.2,0.01
docs/phase25c,8,16342,16.0,0.02
docs/phase26a,3,4951,4.8,0.0
docs/phase26a/plots,4,228181,222.8,0.22
docs/phase26b,1,1236,1.2,0.0
docs/phase26b/plots,10,1149728,1122.8,1.1
docs/phase27a,1,1453,1.4,0.0
docs/phase27b,4,8813,8.6,0.01
docs/phase28a,5,11457,11.2,0.01
docs/phase28c,4,4848,4.7,0.0
docs/phase29,5,8933,8.7,0.01
docs/phase30,3,12835,12.5,0.01
docs/phase31,5,16119,15.7,0.02
docs/phase32,5,40189,39.2,0.04
docs/phase33,7,42054,41.1,0.04
docs/phase34,6,12782,12.5,0.01
docs/phase36,7,79135,77.3,0.08
docs/phase43a,1,13038,12.7,0.01
docs/phase43b,1,7426,7.3,0.01
docs/phase43c,1,6089,5.9,0.01
docs/phase43d,1,18208,17.8,0.02
docs/phase43e,1,4759,4.6,0.0
docs/phase43g,1,6419,6.3,0.01
docs/phase43h,1,12968,12.7,0.01
docs/redteam,2,105238,102.8,0.1
docs/releases,17,91037,88.9,0.09
docs/reports,2,6638,6.5,0.01
models/dann_production,3,649303,634.1,0.62
models/esp32,2,1771,1.7,0.0
models/helix_full,4,18905376,18462.3,18.03
models/production,2,1771,1.7,0.0
models/rpi_4,2,1771,1.7,0.0
models/rpi_zero,2,1771,1.7,0.0
results,1,499,0.5,0.0
results/attestations,1,283,0.3,0.0
results/coral_sweep,3,1004673,981.1,0.96
results/dann_production,3,168945190,164985.5,161.12
results/licenses,3,65428,63.9,0.06
results/phase33,6,48637,47.5,0.05
results/phase43a,1,22486,22.0,0.02
results/phase43b,1,5291,5.2,0.01
results/phase43c,1,5121,5.0,0.0
results/phase43d,1,16743,16.4,0.02
results/phase43e,1,11886,11.6,0.01
results/phase43g,1,13425,13.1,0.01
