script,references,size_bytes,classification,notes
scripts/analysis/_check_alt_datasets.py,0,1661,LOW_REFERENCE,Found 0 references
scripts/analysis/_check_cache.py,0,736,LOW_REFERENCE,Found 0 references
scripts/analysis/_check_external_datasets.py,0,1539,LOW_REFERENCE,Found 0 references
scripts/analysis/_check_internet.py,0,194,LOW_REFERENCE,Found 0 references
scripts/analysis/_check_iot23_kyoto.py,0,2154,LOW_REFERENCE,Found 0 references
scripts/analysis/_check_results.py,0,829,LOW_REFERENCE,Found 0 references
scripts/analysis/_check_results2.py,0,1174,LOW_REFERENCE,Found 0 references
scripts/analysis/_check_sources_deep.py,0,2872,LOW_REFERENCE,Found 0 references
scripts/analysis/_explore_external.py,0,2338,LOW_REFERENCE,Found 0 references
scripts/analysis/architecture_audit_part_a.py,0,13895,LOW_REFERENCE,Found 0 references
scripts/analysis/phase31_fingerprint_elimination.py,0,39610,LOW_REFERENCE,Found 0 references
scripts/analysis/phase32_harmonization_redesign.py,0,42786,LOW_REFERENCE,Found 0 references
scripts/analysis/phase33_analysis.py,0,28614,LOW_REFERENCE,Found 0 references
scripts/analysis/phase43a_fingerprint_attribution.py,0,31645,LOW_REFERENCE,Found 0 references
scripts/analysis/phase43b_fingerprint_ablation.py,0,29197,LOW_REFERENCE,Found 0 references
scripts/analysis/phase43c_coral_domain_alignment.py,0,29068,LOW_REFERENCE,Found 0 references
scripts/analysis/phase43d_semantic_preservation.py,0,44267,LOW_REFERENCE,Found 0 references
scripts/analysis/phase43e_cross_dataset_transfer.py,0,34276,LOW_REFERENCE,Found 0 references
scripts/analysis/phase43g_causal_attribution.py,0,44907,LOW_REFERENCE,Found 0 references
scripts/analysis/phase43h_failure_mode_taxonomy.py,0,57561,LOW_REFERENCE,Found 0 references
scripts/analysis/phase44c_diagnostics.py,0,16998,LOW_REFERENCE,Found 0 references
scripts/analysis/phase44c_transfer_baseline.py,0,9182,LOW_REFERENCE,Found 0 references
scripts/analysis/phase44c_transfer_coral.py,0,11660,LOW_REFERENCE,Found 0 references
scripts/analysis/phase45_causal_discovery.py,0,26863,LOW_REFERENCE,Found 0 references
scripts/analysis/phase45_causal_discovery_step2.py,0,10778,LOW_REFERENCE,Found 0 references
scripts/analysis/phase47_continue.py,0,28718,LOW_REFERENCE,Found 0 references
scripts/analysis/phase47_representation_analysis.py,0,50604,LOW_REFERENCE,Found 0 references
scripts/analysis/phase47_stats.py,0,6654,LOW_REFERENCE,Found 0 references
scripts/analysis/phase48_analysis_only.py,0,33676,LOW_REFERENCE,Found 0 references
scripts/analysis/phase48_shared_representation.py,0,75195,LOW_REFERENCE,Found 0 references
scripts/analysis/phase49_conditional_analysis.py,0,67544,LOW_REFERENCE,Found 0 references
scripts/analysis/phase50_conditional_representation.py,0,62986,LOW_REFERENCE,Found 0 references
scripts/analysis/phase51_main.py,0,65004,LOW_REFERENCE,Found 0 references
scripts/analysis/phase52_main.py,1,81270,UNREFERENCED,No external references found
scripts/analysis/phase52_run_all.py,0,2962,LOW_REFERENCE,Found 0 references
scripts/analysis/phase52_standalone_runner.py,0,7155,LOW_REFERENCE,Found 0 references
scripts/analysis/phase53_main.py,0,65911,LOW_REFERENCE,Found 0 references
scripts/analysis/phase54_main.py,0,137238,LOW_REFERENCE,Found 0 references
scripts/analysis/phase55/__init__.py,1,66,UNREFERENCED,No external references found
scripts/analysis/phase55/phase55_core.py,1,45014,UNREFERENCED,No external references found
scripts/analysis/phase55/phase55_main.py,0,70983,LOW_REFERENCE,Found 0 references
scripts/analysis/phase58_main.py,0,53585,LOW_REFERENCE,Found 0 references
scripts/analysis/phase59_main.py,0,96409,LOW_REFERENCE,Found 0 references
scripts/analysis/phase60_main.py,0,84126,LOW_REFERENCE,Found 0 references
scripts/analysis/phase61_main.py,0,101723,LOW_REFERENCE,Found 0 references
scripts/analysis/phase62_main.py,0,122536,LOW_REFERENCE,Found 0 references
scripts/analysis/phase63_main.py,0,134423,LOW_REFERENCE,Found 0 references
scripts/analysis/phase64_main.py,0,89736,LOW_REFERENCE,Found 0 references
